iter	Accuracy	MultiClass
0	0.7288548132	1.461104004
1	0.7684069612	1.234044131
2	0.8060119265	1.082997829
3	0.8069855178	0.9885507347
4	0.8072289157	0.9235039115
5	0.8089327005	0.8646278414
6	0.8099062918	0.8189464772
7	0.8102713886	0.7839045576
8	0.8120968723	0.7545075544
9	0.8127053669	0.7315492439
10	0.8138006572	0.7134638221
11	0.814044055	0.6991603369
12	0.8150176463	0.6850049939
13	0.8164780333	0.6715957699
14	0.816964829	0.6622257258
15	0.816964829	0.6515975122
16	0.8173299258	0.6443041342
17	0.8176950225	0.6377708989
18	0.8191554095	0.6308666841
19	0.8190337106	0.6287314267
20	0.8193988074	0.6258723935
21	0.8192771084	0.6233256297
22	0.8202506998	0.619337435
23	0.8201290009	0.6168105186
24	0.8206157965	0.6132223021
25	0.8209808933	0.6102687858
26	0.8207374954	0.6071270166
27	0.8207374954	0.6063993783
28	0.8218327857	0.6017958553
29	0.8220761835	0.5994822686
30	0.8220761835	0.5970679593
31	0.8231714738	0.5923877209
32	0.8232931727	0.5885322778
33	0.8232931727	0.587697737
34	0.8240233662	0.5845936421
35	0.824266764	0.5827813503
36	0.8243884629	0.5821144426
37	0.8247535597	0.5787757446
38	0.8248752586	0.5765856989
39	0.8249969575	0.5742909493
40	0.8247535597	0.5723807279
41	0.8249969575	0.5704145892
42	0.825727151	0.5663023186
43	0.8264573445	0.5649538257
44	0.8264573445	0.5630188842
45	0.8262139467	0.5602751323
46	0.8264573445	0.5593744533
47	0.8267007424	0.5580204934
48	0.827187538	0.556053404
49	0.8275526348	0.5543335748
50	0.8285262261	0.5515369361
51	0.8281611294	0.5505998307
52	0.828769624	0.5491083059
53	0.8282828283	0.5461142035
54	0.8285262261	0.542230772
55	0.8291347207	0.5402215515
56	0.8294998175	0.5387351965
57	0.8298649142	0.5358859681
58	0.8305951077	0.5336212868
59	0.8307168066	0.5317405988
60	0.8308385055	0.5309603114
61	0.8310819034	0.5295699251
62	0.831568699	0.5273266361
63	0.8319337958	0.5257941092
64	0.8322988925	0.524287788
65	0.8324205915	0.5227984618
66	0.8324205915	0.5223110719
67	0.8327856882	0.5207888253
68	0.833029086	0.5198753109
69	0.8324205915	0.5184617495
70	0.8321771936	0.5169507338
71	0.8319337958	0.5160523724
72	0.8324205915	0.5149954101
73	0.8325422904	0.5144520435
74	0.8325422904	0.5135627144
75	0.8332724839	0.511435598
76	0.8333941828	0.5105435948
77	0.8335158817	0.5085492301
78	0.834489473	0.5062414074
79	0.834489473	0.5052209905
80	0.834489473	0.5037815799
81	0.8348545698	0.5023047921
82	0.8352196665	0.5009333618
83	0.8354630644	0.4979141531
84	0.83594986	0.4961836575
85	0.8361932579	0.4951880201
86	0.8365583546	0.4942567678
87	0.8366800535	0.4928523873
88	0.8370451503	0.4913742327
89	0.8371668492	0.4905890727
90	0.8378970427	0.4884000075
91	0.8376536449	0.4875601483
92	0.8378970427	0.4863621448
93	0.8388706341	0.4843769015
94	0.8393574297	0.4832911487
95	0.8393574297	0.4825448218
96	0.8396008276	0.4814774605
97	0.8397225265	0.4804765642
98	0.8394791286	0.478534581
99	0.8399659243	0.4775361508
100	0.8399659243	0.4768955379
101	0.84045272	0.4758129939
102	0.8405744189	0.4745682541
103	0.8408178167	0.4729886936
104	0.8405744189	0.4716675354
105	0.8413046124	0.470879939
106	0.8408178167	0.4699656819
107	0.8414263113	0.4684971836
108	0.8411829135	0.4675457868
109	0.8411829135	0.4666544076
110	0.8414263113	0.4659907979
111	0.8414263113	0.4650778184
112	0.8417914081	0.464752357
113	0.8413046124	0.463264457
114	0.841913107	0.4624765635
115	0.8420348059	0.4619856973
116	0.841913107	0.4612760345
117	0.841913107	0.4607895657
118	0.841913107	0.4600388712
119	0.8422782037	0.4585019469
120	0.8425216016	0.4569884355
121	0.8431300961	0.4563532302
122	0.8428866983	0.4554225424
123	0.8430083972	0.4545239433
124	0.8428866983	0.4535468757
125	0.8432517951	0.4527369956
126	0.843373494	0.4516429235
127	0.8444687842	0.4497833605
128	0.844833881	0.4490338247
129	0.8454423756	0.4484414041
130	0.8458074723	0.4473557701
131	0.8464159669	0.4464940729
132	0.8460508701	0.4454612959
133	0.8465376658	0.4446763736
134	0.8470244615	0.4439287096
135	0.8471461604	0.4434640491
136	0.8467810636	0.4427835929
137	0.8469027626	0.4422037701
138	0.8469027626	0.4415871939
139	0.8484848485	0.4403387401
140	0.8486065474	0.4391287926
141	0.8493367409	0.4384283702
142	0.8494584398	0.4378034748
143	0.8495801387	0.4371830955
144	0.8507971279	0.4364945281
145	0.8504320312	0.4353651288
146	0.8503103322	0.4341875373
147	0.850675429	0.4335684654
148	0.8509188268	0.4323357885
149	0.8514056225	0.4314753094
150	0.8514056225	0.4308561186
151	0.8518924182	0.4297720296
152	0.8525009127	0.4288939018
153	0.8526226117	0.4280642337
154	0.8526226117	0.4275340591
155	0.8523792138	0.4270196018
156	0.8523792138	0.4263778005
157	0.8529877084	0.4253898287
158	0.8527443106	0.4250408951
159	0.8525009127	0.4243018178
160	0.8534745041	0.4233640885
161	0.8539612997	0.4225779182
162	0.8543263965	0.4218432977
163	0.8543263965	0.4213249185
164	0.8542046976	0.4202436225
165	0.8542046976	0.4195853609
166	0.8549348911	0.4189143827
167	0.8544480954	0.4181873386
168	0.8545697943	0.4175199852
169	0.8556650846	0.4168036374
170	0.8561518802	0.4162220913
171	0.8560301813	0.4156166273
172	0.8563952781	0.414401094
173	0.8566386759	0.4134751601
174	0.8571254716	0.412733795
175	0.8573688694	0.4119186856
176	0.8568820737	0.4114786561
177	0.8571254716	0.4110823918
178	0.8578556651	0.4101408891
179	0.8587075575	0.4094117058
180	0.8588292564	0.4088327149
181	0.859437751	0.4077129422
182	0.859437751	0.407193226
183	0.8593160521	0.4062875258
184	0.8600462456	0.4056551728
185	0.8598028478	0.4048258909
186	0.8602896434	0.403927886
187	0.8600462456	0.402880996
188	0.8602896434	0.4022866145
189	0.8611415358	0.4017573906
190	0.8612632348	0.4009542847
191	0.8607764391	0.3999818818
192	0.8612632348	0.3989877003
193	0.8617500304	0.3983416502
194	0.8612632348	0.3977482789
195	0.8616283315	0.3972070515
196	0.8619934283	0.3968388944
197	0.8621151272	0.3963295773
198	0.8618717293	0.3958599253
199	0.8624802239	0.3954016528
200	0.8624802239	0.3945803039
201	0.8628453207	0.3939704426
202	0.8624802239	0.3934709304
203	0.8629670196	0.3928781829
204	0.863818912	0.3922779779
205	0.8639406109	0.3915375339
206	0.8641840088	0.3909240478
207	0.8640623098	0.3902487317
208	0.8640623098	0.3897510021
209	0.8641840088	0.3890319802
210	0.8641840088	0.3886856612
211	0.8647925033	0.3878080385
212	0.865279299	0.3869237604
213	0.8654009979	0.386388921
214	0.8663745893	0.3854024348
215	0.8666179871	0.3848734486
216	0.8664962882	0.3840421166
217	0.8671047828	0.383596531
218	0.8672264817	0.3831015349
219	0.8680783741	0.382559951
220	0.8679566752	0.3819922802
221	0.8684434709	0.3813410603
222	0.8684434709	0.3809324657
223	0.8683217719	0.3803103631
224	0.8684434709	0.3797970944
225	0.8683217719	0.3789678125
226	0.8689302665	0.378563229
227	0.8691736644	0.3781918631
228	0.8695387611	0.377515626
229	0.86966046	0.3764780357
230	0.86966046	0.3759229033
231	0.8695387611	0.3754903611
232	0.86966046	0.374796802
233	0.8699038579	0.3742552181
234	0.8700255568	0.3738041655
235	0.8697821589	0.3731776954
236	0.8703906535	0.3726605344
237	0.8708774492	0.3719698871
238	0.8709991481	0.3714384943
239	0.8714859438	0.3707598802
240	0.8716076427	0.3703015186
241	0.8717293416	0.3698190311
242	0.8716076427	0.3692236691
243	0.8716076427	0.3685236923
244	0.8720944384	0.367920011
245	0.8719727394	0.3673890341
246	0.8718510405	0.3669652271
247	0.8716076427	0.3665179777
248	0.8718510405	0.3659201496
249	0.8718510405	0.3654538847
250	0.8718510405	0.3648383484
251	0.872581234	0.3642443531
252	0.8729463308	0.3639401355
253	0.8730680297	0.3629805384
254	0.8729463308	0.3624627238
255	0.8733114275	0.3619734026
256	0.8730680297	0.3616191209
257	0.8727029329	0.3611250459
258	0.8729463308	0.3605188985
259	0.8736765243	0.3601262888
260	0.8739199221	0.3594983033
261	0.8736765243	0.358824146
262	0.8744067178	0.3580608834
263	0.8748935134	0.357539028
264	0.8753803091	0.3569569768
265	0.8756237069	0.3565252963
266	0.8752586102	0.3559655882
267	0.8764755994	0.3555353041
268	0.8764755994	0.3551088528
269	0.8767189972	0.3546342983
270	0.8767189972	0.3543028352
271	0.8773274918	0.3537456526
272	0.8781793842	0.3531731091
273	0.8778142875	0.3526300396
274	0.8779359864	0.3522009142
275	0.8783010831	0.3515727802
276	0.878422782	0.3511831417
277	0.8780576853	0.3510113489
278	0.8781793842	0.3504559193
279	0.8786661799	0.3499384018
280	0.8786661799	0.34952746
281	0.8793963734	0.3486469552
282	0.8793963734	0.3481147602
283	0.8792746745	0.3476599045
284	0.8796397712	0.3471667803
285	0.8803699647	0.3465414986
286	0.8803699647	0.3459195744
287	0.8803699647	0.3455052454
288	0.8804916636	0.345253766
289	0.8803699647	0.3447303359
290	0.8803699647	0.3445058941
291	0.8804916636	0.3441880389
292	0.8804916636	0.3433454462
293	0.8807350615	0.3428315832
294	0.8809784593	0.3425432614
295	0.8811001582	0.3422369342
296	0.881343556	0.3416443057
297	0.8809784593	0.3411730195
298	0.881465255	0.340492385
299	0.8821954485	0.3400985868
300	0.8826822441	0.3395793163
301	0.8830473409	0.3390810222
302	0.8835341365	0.3386898387
303	0.8835341365	0.3379662709
304	0.8831690398	0.3372868249
305	0.8835341365	0.3367568879
306	0.8837775344	0.3361766194
307	0.8832907387	0.3358031439
308	0.884386029	0.3351770006
309	0.88426433	0.334887728
310	0.8841426311	0.3343297729
311	0.8841426311	0.3338056
312	0.8832907387	0.3334657879
313	0.8832907387	0.3331700678
314	0.8837775344	0.332789937
315	0.88426433	0.3324999513
316	0.8845077279	0.3320485719
317	0.8851162225	0.3316281818
318	0.8856030181	0.3310909654
319	0.885846416	0.3304865116
320	0.8863332116	0.3299459379
321	0.8860898138	0.329221657
322	0.8863332116	0.3283919889
323	0.8866983084	0.3277919918
324	0.8869417062	0.3271732764
325	0.8868200073	0.3268353064
326	0.8876718997	0.3263262567
327	0.8876718997	0.325985167
328	0.8884020932	0.3254584983
329	0.8888888889	0.3248618884
330	0.8892539856	0.3244185906
331	0.8892539856	0.3240691221
332	0.8890105878	0.3235606072
333	0.8891322867	0.323353933
334	0.8892539856	0.3229956105
335	0.8893756846	0.3225845796
336	0.8897407813	0.322161456
337	0.8905926737	0.3218470176
338	0.8907143726	0.3215450581
339	0.8908360716	0.3211801099
340	0.8912011683	0.3204461727
341	0.8913228672	0.320036657
342	0.891687964	0.3196159995
343	0.8914445661	0.3193035815
344	0.8915662651	0.3188669094
345	0.8913228672	0.3181534138
346	0.8915662651	0.3178227529
347	0.8921747596	0.3169235298
348	0.8922964586	0.3167182223
349	0.8921747596	0.3161698938
350	0.8927832542	0.3158013802
351	0.893148351	0.3152620247
352	0.8932700499	0.3148289774
353	0.893148351	0.3141968323
354	0.8933917488	0.3138882768
355	0.8940002434	0.3135771364
356	0.8937568456	0.3132582413
357	0.8938785445	0.3129410397
358	0.8938785445	0.312654768
359	0.8947304369	0.3116575856
360	0.8950955336	0.3110383651
361	0.8958257272	0.3106362476
362	0.8961908239	0.3101510267
363	0.8961908239	0.3097701828
364	0.896069125	0.3092730474
365	0.8963125228	0.308994887
366	0.8964342217	0.3085698321
367	0.8964342217	0.3082192644
368	0.8966776196	0.3075763043
369	0.8969210174	0.3072864374
370	0.8970427163	0.3068662553
371	0.897529512	0.3063958604
372	0.8976512109	0.3058816112
373	0.8976512109	0.3056021434
374	0.8976512109	0.304906356
375	0.8980163077	0.3045277702
376	0.8987465012	0.3041450544
377	0.8986248022	0.3038185234
378	0.8991115979	0.303515524
379	0.8993549957	0.3031439204
380	0.8998417914	0.3025522426
381	0.9000851892	0.3021336946
382	0.8998417914	0.3016937542
383	0.9000851892	0.3013643708
384	0.9003285871	0.3009508738
385	0.900450286	0.3004835393
386	0.9006936838	0.3002024968
387	0.9009370817	0.299936221
388	0.9003285871	0.2993937754
389	0.900450286	0.299236987
390	0.9002068882	0.2988928667
391	0.9000851892	0.2986769521
392	0.9002068882	0.2982286925
393	0.9006936838	0.2973587057
394	0.9008153827	0.2971490008
395	0.900450286	0.2967988193
396	0.9008153827	0.2964650684
397	0.9008153827	0.2961804902
398	0.9006936838	0.2957803634
399	0.9005719849	0.2953979745
400	0.9014238773	0.2947910249
401	0.901910673	0.2944356439
402	0.9022757697	0.2940561072
403	0.9023974687	0.2936230897
404	0.90337106	0.2932197837
405	0.9034927589	0.292901156
406	0.9038578557	0.2925391195
407	0.9037361567	0.2924104087
408	0.9043446513	0.291865913
409	0.9041012535	0.2914791564
410	0.9042229524	0.2912148119
411	0.9053182427	0.2901867888
412	0.9053182427	0.2898202956
413	0.9056833394	0.2893659748
414	0.9051965438	0.2890309165
415	0.9050748448	0.2888820612
416	0.9054399416	0.2885656321
417	0.9060484362	0.2880660307
418	0.906291834	0.2876139085
419	0.9069003286	0.2871786626
420	0.9072654253	0.2867562818
421	0.9072654253	0.2864606508
422	0.907752221	0.2861478169
423	0.9075088232	0.2857465016
424	0.9076305221	0.2855526628
425	0.9081173178	0.2851640939
426	0.9079956188	0.2849659766
427	0.9084824145	0.2845863211
428	0.9088475113	0.2840028735
429	0.9088475113	0.2836486809
430	0.9090909091	0.2832916954
431	0.9088475113	0.2829909541
432	0.9093343069	0.2827023649
433	0.9090909091	0.2824456859
434	0.9093343069	0.2820955044
435	0.9094560058	0.2818678538
436	0.909212608	0.2815845235
437	0.909212608	0.2813501283
438	0.9088475113	0.2810208043
439	0.9095777048	0.2806598672
440	0.9095777048	0.2802552837
441	0.9098211026	0.2798987142
442	0.9103078983	0.279551801
443	0.9105512961	0.2792704911
444	0.9103078983	0.2789477037
445	0.910672995	0.278694501
446	0.9105512961	0.2784042479
447	0.9111597907	0.2780728145
448	0.9112814896	0.2778221967
449	0.9117682853	0.2774263781
450	0.9120116831	0.2772028871
451	0.9122550809	0.2768486054
452	0.9120116831	0.2766632344
453	0.9123767798	0.2764871037
454	0.9129852744	0.2759022002
455	0.9126201777	0.2755509491
456	0.9132286723	0.2753481076
457	0.9133503712	0.2751036105
458	0.913593769	0.2749005908
459	0.9139588658	0.2743726742
460	0.9137154679	0.2740653666
461	0.9142022636	0.2737106986
462	0.9144456614	0.2733234073
463	0.9148107582	0.2730118212
464	0.9146890593	0.2728134068
465	0.9146890593	0.2723898672
466	0.9156626506	0.2711712439
467	0.9160277474	0.2708576078
468	0.9160277474	0.2704041486
469	0.9161494463	0.2700925031
470	0.9166362419	0.2697755689
471	0.9166362419	0.2694890595
472	0.9168796398	0.2690051755
473	0.9170013387	0.268593788
474	0.9171230376	0.2683736841
475	0.9173664354	0.2680883929
476	0.9171230376	0.2676162153
477	0.9171230376	0.2673157117
478	0.9174881344	0.2670163668
479	0.9178532311	0.2666517752
480	0.9182183279	0.2662149248
481	0.91797493	0.2661193721
482	0.9180966289	0.2659533434
483	0.9187051235	0.2656480265
484	0.9191919192	0.2648733547
485	0.919435317	0.2646080594
486	0.9199221127	0.2640810044
487	0.9204089084	0.2637436881
488	0.920895704	0.2633311121
489	0.9207740051	0.2631086015
490	0.9211391019	0.2628515661
491	0.9212608008	0.2625379002
492	0.920895704	0.2622929276
493	0.9215041986	0.2619003179
494	0.922356091	0.2614138193
495	0.922356091	0.261255278
496	0.922356091	0.2611202088
497	0.9222343921	0.2608290347
498	0.9221126932	0.2603712376
499	0.9219909943	0.2599490944
