iter	Passed	Remaining
0	36	18099
1	72	17966
2	107	17841
3	148	18414
4	177	17585
5	211	17392
6	247	17427
7	289	17811
8	330	18047
9	363	17804
10	394	17554
11	427	17370
12	456	17095
13	484	16813
14	515	16670
15	549	16609
16	581	16521
17	610	16337
18	638	16167
19	664	15945
20	688	15702
21	713	15498
22	738	15310
23	765	15176
24	795	15122
25	821	14976
26	846	14835
27	868	14639
28	893	14511
29	917	14366
30	942	14259
31	973	14239
32	1003	14204
33	1028	14095
34	1053	13994
35	1076	13875
36	1102	13796
37	1129	13737
38	1159	13702
39	1187	13652
40	1213	13582
41	1238	13508
42	1267	13471
43	1293	13400
44	1315	13296
45	1343	13259
46	1366	13168
47	1390	13093
48	1416	13035
49	1440	12962
50	1466	12912
51	1490	12841
52	1514	12770
53	1542	12736
54	1570	12707
55	1596	12656
56	1622	12609
57	1649	12568
58	1675	12526
59	1699	12462
60	1724	12407
61	1747	12347
62	1777	12328
63	1806	12308
64	1835	12285
65	1865	12264
66	1891	12224
67	1919	12194
68	1945	12152
69	1972	12114
70	1997	12070
71	2023	12027
72	2049	11987
73	2072	11933
74	2097	11885
75	2126	11862
76	2150	11815
77	2178	11785
78	2203	11743
79	2225	11685
80	2250	11639
81	2278	11612
82	2305	11582
83	2332	11552
84	2361	11528
85	2386	11488
86	2411	11448
87	2440	11427
88	2466	11388
89	2488	11337
90	2517	11316
91	2541	11271
92	2568	11242
93	2598	11222
94	2625	11192
95	2648	11146
96	2673	11106
97	2696	11059
98	2726	11043
99	2749	10999
100	2777	10974
101	2805	10948
102	2833	10922
103	2862	10899
104	2890	10872
105	2913	10828
106	2941	10804
107	2969	10776
108	2994	10741
109	3023	10718
110	3050	10690
111	3079	10666
112	3103	10628
113	3133	10608
114	3160	10580
115	3182	10536
116	3207	10499
117	3229	10456
118	3253	10416
119	3282	10393
120	3309	10365
121	3331	10322
122	3355	10284
123	3380	10249
124	3404	10213
125	3428	10176
126	3455	10147
127	3480	10114
128	3506	10083
129	3528	10043
130	3553	10009
131	3579	9978
132	3606	9950
133	3630	9915
134	3653	9879
135	3677	9842
136	3702	9809
137	3725	9773
138	3747	9733
139	3776	9711
140	3804	9686
141	3832	9661
142	3860	9637
143	3884	9602
144	3912	9578
145	3941	9557
146	3970	9535
147	3999	9512
148	4032	9499
149	4061	9477
150	4087	9447
151	4114	9420
152	4139	9389
153	4163	9355
154	4187	9319
155	4212	9289
156	4236	9254
157	4261	9224
158	4283	9187
159	4308	9154
160	4332	9123
161	4356	9089
162	4380	9057
163	4404	9024
164	4430	8995
165	4454	8962
166	4477	8928
167	4500	8893
168	4525	8863
169	4553	8838
170	4579	8811
171	4603	8778
172	4629	8750
173	4655	8721
174	4678	8689
175	4702	8656
176	4726	8625
177	4749	8591
178	4777	8567
179	4803	8539
180	4831	8515
181	4861	8494
182	4884	8461
183	4912	8437
184	4937	8407
185	4960	8374
186	4986	8345
187	5011	8317
188	5033	8281
189	5058	8254
190	5087	8229
191	5115	8206
192	5142	8180
193	5165	8148
194	5188	8115
195	5211	8083
196	5236	8054
197	5260	8024
198	5285	7995
199	5309	7963
200	5334	7935
201	5357	7904
202	5380	7871
203	5404	7842
204	5430	7815
205	5458	7789
206	5480	7757
207	5509	7734
208	5532	7703
209	5555	7672
210	5580	7643
211	5606	7616
212	5633	7590
213	5660	7564
214	5683	7534
215	5709	7507
216	5734	7479
217	5759	7450
218	5782	7419
219	5810	7395
220	5836	7368
221	5863	7342
222	5887	7312
223	5909	7281
224	5931	7249
225	5957	7223
226	5982	7195
227	6004	7163
228	6030	7136
229	6058	7112
230	6081	7082
231	6108	7056
232	6132	7027
233	6157	6999
234	6185	6974
235	6208	6945
236	6230	6914
237	6258	6889
238	6288	6867
239	6316	6843
240	6342	6815
241	6365	6786
242	6388	6756
243	6414	6729
244	6439	6702
245	6465	6675
246	6488	6645
247	6509	6614
248	6532	6585
249	6556	6556
250	6579	6527
251	6604	6500
252	6628	6471
253	6657	6447
254	6679	6417
255	6704	6389
256	6729	6363
257	6752	6333
258	6778	6307
259	6802	6279
260	6825	6250
261	6853	6225
262	6878	6198
263	6904	6171
264	6927	6143
265	6950	6114
266	6976	6087
267	6998	6058
268	7020	6028
269	7043	5999
270	7069	5973
271	7095	5947
272	7123	5922
273	7152	5899
274	7181	5875
275	7204	5846
276	7228	5819
277	7250	5790
278	7273	5761
279	7298	5734
280	7321	5705
281	7348	5680
282	7374	5654
283	7396	5625
284	7422	5599
285	7445	5570
286	7471	5544
287	7495	5517
288	7519	5489
289	7542	5461
290	7565	5433
291	7587	5405
292	7612	5378
293	7637	5351
294	7660	5323
295	7682	5294
296	7706	5267
297	7732	5241
298	7758	5215
299	7780	5186
300	7806	5160
301	7829	5133
302	7854	5106
303	7878	5079
304	7906	5055
305	7934	5030
306	7960	5004
307	7988	4979
308	8015	4954
309	8038	4926
310	8063	4900
311	8089	4874
312	8112	4846
313	8139	4821
314	8163	4794
315	8190	4769
316	8214	4742
317	8240	4716
318	8266	4690
319	8290	4663
320	8317	4638
321	8341	4611
322	8366	4584
323	8391	4558
324	8417	4532
325	8440	4504
326	8465	4478
327	8489	4451
328	8513	4425
329	8539	4398
330	8565	4373
331	8587	4345
332	8613	4319
333	8638	4293
334	8662	4266
335	8686	4239
336	8711	4213
337	8734	4186
338	8758	4159
339	8782	4132
340	8810	4108
341	8834	4081
342	8859	4055
343	8885	4029
344	8909	4002
345	8940	3979
346	8965	3952
347	8990	3927
348	9015	3900
349	9041	3874
350	9065	3848
351	9089	3821
352	9113	3794
353	9141	3770
354	9169	3745
355	9191	3718
356	9217	3692
357	9239	3664
358	9263	3638
359	9291	3613
360	9316	3587
361	9338	3560
362	9363	3533
363	9388	3507
364	9413	3481
365	9438	3455
366	9464	3429
367	9487	3403
368	9511	3376
369	9535	3350
370	9559	3324
371	9587	3298
372	9612	3272
373	9641	3248
374	9667	3222
375	9692	3196
376	9715	3169
377	9739	3143
378	9763	3116
379	9786	3090
380	9812	3064
381	9835	3038
382	9857	3011
383	9879	2984
384	9906	2959
385	9932	2933
386	9956	2907
387	9983	2881
388	10008	2856
389	10031	2829
390	10055	2803
391	10080	2777
392	10105	2751
393	10128	2724
394	10153	2698
395	10178	2673
396	10202	2647
397	10229	2621
398	10256	2596
399	10279	2569
400	10305	2544
401	10330	2518
402	10353	2492
403	10378	2466
404	10403	2440
405	10428	2414
406	10450	2387
407	10472	2361
408	10495	2335
409	10518	2309
410	10545	2283
411	10576	2259
412	10606	2234
413	10634	2209
414	10659	2183
415	10687	2157
416	10717	2133
417	10742	2107
418	10769	2081
419	10794	2056
420	10818	2030
421	10841	2003
422	10864	1977
423	10887	1951
424	10912	1925
425	10935	1899
426	10958	1873
427	10981	1847
428	11008	1821
429	11031	1795
430	11054	1769
431	11078	1743
432	11102	1717
433	11126	1692
434	11150	1666
435	11173	1640
436	11199	1614
437	11222	1588
438	11245	1562
439	11268	1536
440	11292	1510
441	11316	1484
442	11340	1459
443	11364	1433
444	11387	1407
445	11410	1381
446	11432	1355
447	11456	1329
448	11478	1303
449	11506	1278
450	11529	1252
451	11553	1226
452	11578	1201
453	11604	1175
454	11635	1150
455	11662	1125
456	11689	1099
457	11719	1074
458	11745	1049
459	11771	1023
460	11797	998
461	11820	972
462	11845	946
463	11875	921
464	11905	896
465	11933	870
466	11964	845
467	11988	819
468	12014	794
469	12037	768
470	12061	742
471	12085	716
472	12111	691
473	12138	665
474	12166	640
475	12192	614
476	12222	589
477	12248	563
478	12271	537
479	12295	512
480	12318	486
481	12344	460
482	12372	435
483	12401	409
484	12429	384
485	12458	358
486	12487	333
487	12514	307
488	12538	282
489	12559	256
490	12583	230
491	12606	204
492	12631	179
493	12658	153
494	12686	128
495	12709	102
496	12732	76
497	12757	51
498	12786	25
499	12810	0
